102040212,4,0,0,0,0,0,1.571428571,1.142857143,2.25,0.5,0.888888889,0.666666667,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102050113,4,1,1,0,0,0,0,0,0.25,0,0.222222222,0.444444444,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102050524,4,4,1,0,0,1,1.142857143,0.428571429,0.75,0,1.111111111,0.777777778,1,0,3,0,2,1,0,0,0,0,0,0,1,4,0,1,0,1,2,4,0,0,1,3,2
104010601,10,0,0,0,0,0,0.857142857,0.714285714,1,0,0.777777778,1,3,0,1,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,3
104020509,10,0,0,0,0,0,0,0.285714286,0.75,2,0.777777778,0.555555556,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104020516,10,0,0,0,0,0,0,0.714285714,1.25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104030302,10,1,1,0,0,0,-999,-999,-999,-999,1.777777778,1.444444444,3,1,2,0,1,3,1,1,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,2,0,0
101010102,1,8,1,1,0,1,2,2,1,2,0.333333333,0.111111111,0,0,0,1,0,0,0,0,0,4,1,1,8,15,1,1,1,1,-999,-999,-999,-999,-999,-999,-999
101010104,1,0,0,0,0,0,0,0,1,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101010105,1,0,0,0,0,0,0.714285714,0.571428571,1.75,0.5,0.555555556,0.222222222,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101010107,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
101010108,1,0,0,0,0,0,0,0,3,0,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,14,1,1,1,1,0,0,0,0,0,0,0
